Image_ID,Image_Width,Image_Height,Total_Attention_Intensity,Max_Saliency_Peak,Attention_Density,Text_Count,Text_Area_Ratio,Attention_Ratio,Avg_Text_Saliency,Clutter_Index,Dominant_Quadrant
94,720,720,7172442.0,159.0,44827.76,38,0.32948,1.7061,19.15,0.504,Q2_TopRight
304,720,720,11336092.0,237.0,47630.64,2,0.00855,8.75301,179.507,89.754,Q1_TopLeft
369,720,720,12365089.0,224.0,54955.95,11,0.18621,5.10078,68.987,6.272,Q3_BottomLeft
119,720,720,15709638.0,238.0,65730.7,6,0.06205,5.49035,130.124,21.687,Q1_TopLeft
62,720,720,9868601.0,227.0,43283.34,19,0.17816,7.15231,64.957,3.419,Q3_BottomLeft
26,720,720,14400161.0,240.0,59751.71,4,0.06827,8.91188,160.735,40.184,Q3_BottomLeft
57,720,720,10063861.0,223.0,44927.95,2,0.09577,2.49441,42.362,21.181,Q4_BottomRight
254,720,720,9303812.0,244.0,37974.74,1,0.00383,0.0,0.0,0.0,Q1_TopLeft
646,720,720,9724067.0,226.0,42837.3,14,0.09986,4.36642,61.298,4.378,Q4_BottomRight
571,720,720,13214092.0,218.0,60338.32,3,0.12822,3.03967,61.419,20.473,Q3_BottomLeft
437,720,720,16814781.0,228.0,73426.99,1,0.10451,4.06017,99.783,99.783,Q3_BottomLeft
189,720,720,7741085.0,192.0,40109.25,31,0.34114,3.67226,28.686,0.925,Q4_BottomRight
332,720,720,12665604.0,182.0,69210.95,8,0.22749,4.24749,59.683,7.46,Q3_BottomLeft
182,720,720,7134574.0,185.0,38357.92,29,0.20823,3.89253,33.434,1.153,Q4_BottomRight
729,720,720,8643333.0,192.0,44784.11,4,0.23755,2.14713,28.133,7.033,Q3_BottomLeft
355,720,720,12378207.0,247.0,49912.12,8,0.05052,7.22138,131.195,16.399,Q1_TopLeft
550,720,720,12498441.0,203.0,61266.87,4,0.05378,3.77327,79.165,19.791,Q2_TopRight
430,720,720,13422733.0,209.0,63917.78,15,0.28277,5.10941,61.191,4.079,Q1_TopLeft
131,720,720,11311538.0,208.0,54122.19,16,0.19009,5.89069,66.61,4.163,Q1_TopLeft
371,720,720,14029176.0,236.0,59194.84,11,0.09323,6.12048,112.114,10.192,Q3_BottomLeft
152,720,720,12505603.0,208.0,59835.42,4,0.14476,4.5314,72.335,18.084,Q3_BottomLeft
137,720,720,11132922.0,199.0,55664.61,18,0.2434,3.44184,46.361,2.576,Q1_TopLeft
418,720,720,12142766.0,221.0,54697.14,5,0.02957,4.0082,86.217,17.243,Q2_TopRight
623,720,720,10596335.0,212.0,49748.05,13,0.13602,4.25667,60.298,4.638,Q3_BottomLeft
656,720,720,9754875.0,222.0,43743.83,2,0.01183,7.64009,133.295,66.648,Q1_TopLeft
231,720,720,6907060.0,201.0,34193.37,8,0.15633,0.67645,9.493,1.187,Q1_TopLeft
817,720,720,9797707.0,218.0,44738.39,4,0.08945,0.50268,9.943,2.486,Q3_BottomLeft
331,720,720,12696955.0,238.0,53125.33,11,0.24273,2.29983,42.819,3.893,Q1_TopLeft
85,720,720,11698106.0,210.0,55441.26,36,0.22521,2.89812,45.814,1.273,Q4_BottomRight
527,720,720,13055882.0,250.0,52015.47,2,0.0525,11.98069,191.396,95.698,Q2_TopRight
668,720,720,11935508.0,200.0,59380.64,7,0.30261,3.34597,45.053,6.436,Q3_BottomLeft
315,720,720,10762706.0,215.0,49827.34,2,0.01446,2.23315,45.551,22.776,Q2_TopRight
703,720,720,12766169.0,236.0,53865.69,13,0.16898,3.47166,60.306,4.639,Q4_BottomRight
95,720,720,9600560.0,197.0,48487.68,29,0.27216,1.56585,25.129,0.867,Q3_BottomLeft
351,720,720,13970746.0,225.0,61817.46,5,0.08406,4.80709,98.142,19.628,Q4_BottomRight
79,720,720,9490524.0,223.0,42368.41,6,0.30246,1.32338,22.069,3.678,Q4_BottomRight
919,720,720,4526992.0,168.0,26786.93,8,0.10313,7.09323,38.039,4.755,Q4_BottomRight
134,720,720,9571708.0,219.0,43507.76,25,0.25284,5.3691,47.102,1.884,Q4_BottomRight
289,720,720,11672113.0,228.0,50969.93,2,0.1014,2.91375,54.943,27.471,Q4_BottomRight
634,720,720,13265791.0,239.0,55274.13,3,0.02031,7.17927,163.231,54.41,Q4_BottomRight
783,720,720,9713060.0,213.0,45388.13,6,0.1195,4.62707,60.481,10.08,Q3_BottomLeft
631,720,720,10253949.0,229.0,44582.39,3,0.00965,8.85147,162.751,54.25,Q1_TopLeft
262,720,720,7690483.0,227.0,33730.19,1,0.03943,7.39731,87.634,87.634,Q1_TopLeft
747,720,720,13770880.0,225.0,60933.1,0,0.0,,,,NoText
831,720,720,13786500.0,223.0,61546.88,21,0.26576,2.39561,46.473,2.213,Q1_TopLeft
506,720,720,17365516.0,235.0,73582.69,2,0.05551,4.38741,123.709,61.855,Q1_TopLeft
393,720,720,9611430.0,228.0,41971.31,6,0.01627,3.61655,64.315,10.719,Q1_TopLeft
811,720,720,12160445.0,246.0,49232.57,2,0.01444,5.97801,130.826,65.413,Q3_BottomLeft
37,720,720,11667656.0,222.0,52321.33,1,0.03072,4.69661,94.927,94.927,Q4_BottomRight
561,720,720,9936417.0,221.0,44758.64,1,0.11796,2.67011,42.756,42.756,Q4_BottomRight
490,720,720,15211547.0,217.0,69777.74,3,0.17305,1.0918,31.536,10.512,Q3_BottomLeft
237,720,720,12418536.0,226.0,54707.21,3,0.05979,4.02532,81.658,27.219,Q4_BottomRight
640,720,720,9853473.0,224.0,43793.21,2,0.00606,2.81619,52.946,26.473,Q2_TopRight
174,720,720,7449078.0,182.0,40705.34,18,0.28054,5.64355,35.217,1.957,Q3_BottomLeft
98,720,720,12900861.0,198.0,64828.45,12,0.16062,1.19289,28.794,2.4,Q2_TopRight
890,720,720,11701433.0,215.0,54173.3,3,0.01792,6.69711,137.165,45.722,Q3_BottomLeft
850,720,720,13162211.0,200.0,65483.64,12,0.1063,2.36352,52.413,4.368,Q4_BottomRight
832,720,720,15130638.0,240.0,62782.73,2,0.00922,5.13056,144.253,72.126,Q4_BottomRight
198,720,720,12361226.0,237.0,51937.92,9,0.1859,5.09244,68.963,7.663,Q4_BottomRight
603,720,720,9144342.0,223.0,40822.96,1,0.01632,6.27925,101.977,101.977,Q1_TopLeft
40,720,720,15087737.0,249.0,60350.95,16,0.20013,4.17788,74.325,4.645,Q1_TopLeft
889,720,720,12110160.0,210.0,57394.12,17,0.29067,3.17829,45.462,2.674,Q4_BottomRight
658,720,720,7246916.0,197.0,36600.59,9,0.16807,2.0782,24.595,2.733,Q4_BottomRight
386,720,720,15874905.0,228.0,69322.73,6,0.03813,3.99443,109.786,18.298,Q1_TopLeft
664,720,720,6528815.0,185.0,35101.16,12,0.40228,2.18241,18.626,1.552,Q2_TopRight
377,720,720,8378719.0,241.0,34622.81,17,0.14096,5.4721,54.247,3.191,Q1_TopLeft
9,720,720,10401970.0,228.0,45423.45,6,0.07208,3.61759,61.067,10.178,Q1_TopLeft
556,720,720,10265357.0,237.0,43131.75,1,0.01937,4.16087,77.64,77.64,Q2_TopRight
241,720,720,11647280.0,213.0,54426.54,20,0.27834,4.0628,49.275,2.464,Q4_BottomRight
278,720,720,10131320.0,226.0,44631.37,4,0.01925,8.35893,143.092,35.773,Q4_BottomRight
409,720,720,9465685.0,209.0,45074.69,6,0.0748,6.39643,83.208,13.868,Q1_TopLeft
758,720,720,11363258.0,245.0,46192.11,2,0.01141,5.94522,123.358,61.679,Q3_BottomLeft
362,720,720,11842284.0,245.0,48139.37,4,0.09326,3.76235,68.341,17.085,Q3_BottomLeft
266,720,720,14511450.0,232.0,62280.9,0,0.0,,,,NoText
547,720,720,13841033.0,226.0,60973.71,4,0.03524,7.193,157.645,39.411,Q1_TopLeft
796,720,720,11245380.0,215.0,52061.94,4,0.04176,5.80701,104.909,26.227,Q3_BottomLeft
34,720,720,11589805.0,218.0,52921.48,3,0.0024,0.00129,0.029,0.01,Q1_TopLeft
654,720,720,9950023.0,228.0,43449.88,2,0.04238,5.76571,92.07,46.035,Q4_BottomRight
778,720,720,10871702.0,247.0,43837.51,9,0.08109,5.51693,84.682,9.409,Q3_BottomLeft
13,720,720,15686529.0,225.0,69409.42,6,0.10651,5.91929,117.533,19.589,Q3_BottomLeft
893,720,720,9832063.0,196.0,49908.95,4,0.02516,5.84963,98.88,24.72,Q1_TopLeft
760,720,720,11917179.0,247.0,48053.14,6,0.06916,4.7419,86.598,14.433,Q2_TopRight
395,720,720,15461588.0,215.0,71581.43,7,0.11689,3.09767,74.197,10.6,Q4_BottomRight
914,720,720,11613524.0,223.0,51846.09,1,0.04419,0.0,0.0,0.0,Q4_BottomRight
187,720,720,8384457.0,246.0,33945.17,1,0.00281,14.77958,230.13,230.13,Q2_TopRight
960,720,720,5667154.0,190.0,29670.96,8,0.14515,6.32482,39.0,4.875,Q3_BottomLeft
28,720,720,9636232.0,232.0,41357.22,3,0.07243,7.14746,91.928,30.643,Q4_BottomRight
510,720,720,10047807.0,238.0,42041.03,3,0.04069,10.26545,144.493,48.164,Q1_TopLeft
750,720,720,13242396.0,243.0,54272.11,7,0.12895,3.51293,67.775,9.682,Q3_BottomLeft
676,720,720,10554907.0,181.0,57993.99,10,0.31812,2.3035,33.153,3.315,Q4_BottomRight
294,720,720,14005419.0,198.0,70378.99,6,0.10095,4.098,84.338,14.056,Q4_BottomRight
447,720,720,14930608.0,210.0,70761.18,1,0.14101,2.37089,57.223,57.223,Q4_BottomRight
274,720,720,13705346.0,215.0,63450.68,5,0.04314,5.45915,121.043,24.209,Q4_BottomRight
382,720,720,11838881.0,225.0,52384.43,8,0.06305,4.29669,81.239,10.155,Q3_BottomLeft
773,720,720,7783490.0,246.0,31512.11,0,0.0,,,,NoText
172,720,720,8742667.0,248.0,35111.11,1,0.0051,11.87581,189.757,189.757,Q1_TopLeft
687,720,720,12159080.0,222.0,54525.02,9,0.12316,4.2669,71.366,7.93,Q1_TopLeft
341,720,720,12751809.0,232.0,54728.79,8,0.07398,5.67407,103.711,12.964,Q3_BottomLeft
849,720,720,12048860.0,223.0,53789.55,6,0.16002,2.68602,49.165,8.194,Q4_BottomRight
236,720,720,6904233.0,202.0,34011.0,5,0.10132,7.84167,61.681,12.336,Q3_BottomLeft
360,720,720,13228661.0,224.0,58794.05,10,0.12982,3.30527,64.917,6.492,Q2_TopRight
249,720,720,11326429.0,220.0,51250.81,4,0.11865,10.08107,106.023,26.506,Q4_BottomRight
782,720,720,14803777.0,225.0,65503.44,6,0.02058,2.4581,68.15,11.358,Q3_BottomLeft
416,720,720,11533076.0,228.0,50362.78,9,0.18684,1.94571,36.787,4.087,Q3_BottomLeft
529,720,720,12778659.0,200.0,63575.42,2,0.07477,4.70114,90.766,45.383,Q4_BottomRight
328,720,720,13889697.0,244.0,56692.64,7,0.06636,2.65397,64.076,9.154,Q3_BottomLeft
370,720,720,10014886.0,222.0,44909.8,20,0.25142,3.68775,42.514,2.126,Q3_BottomLeft
154,720,720,11336093.0,207.0,54500.45,13,0.27239,6.96113,58.017,4.463,Q1_TopLeft
645,720,720,7873799.0,226.0,34686.34,2,0.02547,4.40327,61.545,30.773,Q3_BottomLeft
184,720,720,6930560.0,223.0,30940.0,8,0.04186,12.40891,112.276,14.034,Q4_BottomRight
842,720,720,13043429.0,231.0,56221.68,0,0.0,,,,NoText
423,720,720,16324454.0,233.0,69762.62,5,0.10527,5.41648,116.433,23.287,Q1_TopLeft
821,720,720,11334237.0,192.0,58726.62,0,0.0,,,,NoText
712,720,720,13231520.0,225.0,58546.55,18,0.31265,2.7798,45.585,2.533,Q4_BottomRight
652,720,720,10143769.0,227.0,44490.21,4,0.04267,7.78272,118.106,29.527,Q2_TopRight
508,720,720,10360022.0,242.0,42633.84,0,0.0,,,,NoText
679,720,720,6572220.0,193.0,33877.42,7,0.439,2.49865,19.107,2.73,Q4_BottomRight
553,720,720,13076712.0,236.0,55176.0,0,0.0,,,,NoText
277,720,720,12560329.0,225.0,55576.68,2,0.00641,2.05895,49.55,24.775,Q3_BottomLeft
432,720,720,18213278.0,233.0,77834.52,3,0.18753,2.80836,73.681,24.56,Q3_BottomLeft
759,720,720,12659413.0,241.0,52311.62,0,0.0,,,,NoText
217,720,720,7236989.0,201.0,35826.68,4,0.01831,0.0,0.0,0.0,Q3_BottomLeft
874,720,720,15562141.0,231.0,67078.19,8,0.10919,6.31378,119.944,14.993,Q2_TopRight
969,720,720,9702419.0,205.0,47099.12,18,0.10207,3.04292,47.125,2.618,Q4_BottomRight
169,720,720,11605828.0,246.0,46987.16,5,0.02259,9.27216,174.9,34.98,Q2_TopRight
361,720,720,13587769.0,231.0,58567.97,5,0.07508,3.00306,68.423,13.685,Q3_BottomLeft
505,720,720,12845797.0,241.0,53081.81,3,0.03597,8.30055,162.906,54.302,Q3_BottomLeft
957,720,720,12299756.0,223.0,54909.62,5,0.00883,8.60146,191.245,38.249,Q4_BottomRight
216,720,720,8729020.0,208.0,41765.65,23,0.30196,7.90647,43.148,1.876,Q1_TopLeft
846,720,720,10924060.0,251.0,43349.44,2,0.01546,5.98766,117.143,58.571,Q4_BottomRight
677,720,720,11327008.0,218.0,51721.5,11,0.19965,3.00496,46.889,4.263,Q4_BottomRight
448,720,720,15238865.0,233.0,65123.35,3,0.299,4.43317,64.306,21.435,Q3_BottomLeft
